Name of NGO,Cause,Address
Sri Sharada Rural Education Trust,Vocational Training,"Sri Sharada Rural Education Trust (R), Naveen building,1st ward, 2nd main road, , Vapasandra, Chikkaballapur town, Taluk & Dist"
Sri Sharada Sevika Mandali,Children,"Sri Sharada Sevika Mandali, No. 46, Ranga Rao Road, Shankara puram,Bengaluru- 560004"
Sri Sharana Basaveshwara Abhivruddi Pratistana,Children,Sri Sharana Basaaveshwara Abhivruddi Prathistana.
Sri Siddalingeshwara Eduction Culture And Rural Delopment Society,Drinking Water,SANKENAHALLI YELERAMPURA POST KORATAGERE TQ TUMKUR DIST 57219
Sri Sindhura Nruthya Kala Academy,Health & Family Welfare,SRI SINDHURA NRUTHYA KALA ACADEMY (R) GUNDLAPALLI VILLAGE GULUR HOBLI BAGEPALLI TALUK ChikkaballapurRICT KARNATAKA - 561207
Sri Sri Rural Development Programme Trust,Rural Development & Poverty Alleviation,"SRI SRI RURAL DEVELOPMENT PROGRAMME TRUST, THE ART OF LIVING CENTRE, 21 KMS, KANAKPURA ROAD, VILLAGE UDIPALIYA,Bengaluru-560082"
Srisrisripoojyabasavarajendraeducationandruraldevl,Children,"plot no 17 kailash nagar brahampur, gulbarga-585301"
Sri Sudharana Rural Development Organization,Rural Development & Poverty Alleviation,"Niketan Consultants , 583/A/37, 3rd Cross 10th Main, Banashankari 1st Stage, II Block Srinivas Nagar,Bengaluru- 50, Ph : 080-55313497 , Fax : 080-266"
Sri Sudharana Rural Development Organization Reg,Rural Development & Poverty Alleviation,"Sri Sudharna Rural Development Organization.Reg., C/oNiketan Consultants, 583,10th main,Banashankari 1 st stage II Block srinivas Nagar,Bengaluru -50"
Sri Sukhatheertha Pratishtanam,Children,"No. 731, 6th Cross, 3rd Phase, 3rd Block, BSK 3rd stage, Kempegowda Layout, Bengaluru - 560085"
Sri Swamy Sarva Dharma Sharanalaya Trust,Rural Development & Poverty Alleviation,"Sri Swamy Serva Dharma Sharanalaya Trust (reg), Reg NO.435/92-93. Servey NO-119/1, Kanivenahalli gate, Sai Nagara, Tumkur road, Pavagada-561202"
Sri Vanadevate Shikshana Mattu Graminabhidruddi Sansthe,Rural Development & Poverty Alleviation,"SRI VANADEVATE SHIKSHANA MATTU GRAMINABHIDRUDDI SANSTHE, YELEBETHUR POST, Davanagere TALUK, Davanagere DISTRICT, PINCODE 577002"
Sri Vekateshwara Swamy Rural Development And Education Society,Children,"SRI VENKATESWARA SWAMY RURAL DEVELOPMENT EDUCATION SOCIETY, CHALLKERE 577522, KHB COLONY, CHITRADURGA DIST"
Sri Venkatesdwara Education And Health Rural Development Society,Health & Family Welfare,SRI VENKATESWARA EDUCATION AND HEALTH RURAL DEVELOPMENT SOCIETY NAGALAMADAKA VILLAGE AND POSTPAVAGADA TALUK TUMKUR DISTRICT KARNATAKA STATE - 561202
Sri Venkateshwara Integrated Urban And Rural Welfare Development Association,Children,"DR PV SREEDHARAMURTHY, , SECRATORY, SRI VENKATESHWARA INTEGRATED URBAN AND RURAL WELFARE DEVELOPMENT ASSOCIATION, 6TH CROSS, JCR EXTENSION, CHITRADURG"
Sri Venkateshwar Rural Development And Womens And Child Development And Educational Cultural Society,Children,"Post : Marnal, At : Marnal Dodd Tanda, Tq: Shorapur, Dist.:Gulabrga"
Sri Vidhyarth Pragathi Trust,Rural Development & Poverty Alleviation,"SRI VIDHYARTH PRAGATHI TRUST (R), 316/1 , D SUBBAIAH ROAD , CHAMARAJA MOHALLA , MYSORE -570024, 0821-4000658"
Sri Vidya Vikasa Kendra,Children,"Sri Vidya Vikasa Kendra, 17, Mullur Village,Kodathi Gate, Sarjapur Road,Bengaluru - 560035"
Srivijayakalanikethana,Vocational Training,"Srivijaya Kalanikethana trust, Rajendra nagar,6TH CROSS."
Sri Yuvaraja Vidya Samste,Vocational Training,"SRI YUVARAJA VIDYA SAMSTE, MADUGIRI TOWN"
Sri Znana Saraswathi Samskruthika Kala Keerthana Kendra,Rural Development & Poverty Alleviation,"Devanga Hostel Complex, Near Puranthara Hospital road,MCC A Block"
Srujana Grama Vikasa Pratisthana,Children,"Srujana grama vikas pratisthana, Shop no 10, Vasthu shilpa building, sri Shivakumara swamiji circle, B H Road, Tumkur-572102"
Srushti Foundation,Children,"SRUSHTI FOUNDATION, C/O SANTOSH HEGDE, H.NO.111, K.H.B. COLONY, POST: N.M. YARD, HUBLI ROAD SIRSI, TALUK SIRSI, UTTARA KANNADA DISTRICT, KARNATAKA STA"
Ss Khuba Foundation For Public Service And Development Organization,Children,H No 8-11-224 SBH Colony KEB Road near Hanuman Temple
Ss Mahila Mandal,Women's Development & Empowerment,"Sannathi shree mahila mandal , Prapti Ladies center, Bhagini samaj complex Old I B Road Bagalkot"
St Luke Medical Society,Health & Family Welfare,"Dr K A Abraham Director, St Luke Health Centre, Aurad B"
Stone Cutters Mud Workers And Unorganized Labor Welfare Association,Labour & Employment,"T.S.Chandrashekar, President, Stone Cutters Mud Workers Unorganized Labor WelfareAssociation, No 43 Ground Floor, 6 Main Road Kempamma Badavane, Mariy"
St Philomena Mahila Mandali,Women's Development & Empowerment,"St.Philomena Mahila Mandali, Laxmipuram Extention, Hassan - 573201"
Subhadra Foundation Trust Registered,Dalit Upliftment,"SUBHADRA FOUNDATION TRUST (R), Near Govt Primary School no.3, Yeallapur Naka."
Success Shivan Kala Mandir Belgaum,Women's Development & Empowerment,"H.NO.100 NEAR LAXMI TEMPLE , BHANDUR GALLI BELGAUM KARNATAKA PIN 590001"
Successs Shivan Kala Mandir,Vocational Training,"house no 100.bhandur galli, near laxmi temple, Belgaum - 590002"
Sudarshan Ballur Education Trust Bidar,Children,"H. No. 12-1-256, Opp: SDA School, Outside Fathe Darwaza, Gowli Galli, Bidar"
Sukanya Mahila Seva Sangha Mahagaon,Drinking Water,Sukanya Mahila Mahila Seva Sangha Mahagaon C/o R S M Ind P U Collage Mahagaon TQ&Diat: Gulbarga Karnataka State Pin:585316.
Sumanahalli Society,Children,"SUMANAHALLI SOCIETY, MAGADI ROAD, VISWANEEDAM POST"
Sumanasa Kodavoor,Children,"Krodrashrama-Udupi- 576106, S.N. complex, Kodavoor, Post , Sumanasa Kodavoor-Udupi, (Cultural Service organization)"
Sumana Society For Rural Development,Children,"SUMANA Society for Rural Development, Post Box No. 5, Sidharthanagar, Mysore 570011"
Sunanda Maitri Sagar,Children,"Sunanda Maitri Sagar, T.Gollahalli village, Bethamagala via, bagarpet Tk, Kolar dt 563116"
Sundara Social Welfare And Charitable Society,Women's Development & Empowerment,"135, Shyam Nilaya, 5th main, Padmanabhanagar,Bengaluru-560070"
Sundara Social Welfare And Charitable Society,Rural Development & Poverty Alleviation,"SUNDARA SOCIAL WELFARE AND CHARITABLE SOCIETY, 135, Shyam Nilaya, 5th main, Padmanabhanagar,Bengaluru-560070"
Surabee Mahila Mandali,Children,"Surabee Mahila Mandali(R), No-314, 3rd Main, 1st Cross, S. Nijalingappa Lay Out, Davanagere, Karnataka-State"
Suraksha,Children,"Suraksha, 603, SLR MAnsion, Tf-3, 15th Main, 3rd Stage, 1st Block, Basaveshwara Nagar,Bengaluru - 560 079"
Surodaya Vividoddeshagala Grameenabhivruddi Seva Samsthe Asundi,Rural Development & Poverty Alleviation,"SHIVANAND.V.MULIMANI, SURODAYA VIVIDODDESHAGALA GRAMEENABHIVRUDDHI SEVA SAMSTHE ASUNDI., AT-ASUNDI,PO-BINKADAKATTI, TQ/DIST-GADAG,PIN-582103"
Surya Chandra Khadi Gramodyoga Sangha,Dalit Upliftment,"SCKGRD project, Kavaraganahally village, Guttahally post, Bangarpet taluk, , Kolar pin - 563116"
Surya Chandra Khadi Gramodyoga Sangha,Rural Development & Poverty Alleviation,"S.C.K.G.S. R.D project, Kavaraganahalli, Guttahally Post, , Bangarpet taluk - 563 116"
Surya Foundation,Health & Family Welfare,"SURYA FOUNDATION , TUNGABHADRA COLONY 1ST CROSS, SAPTAPUR LAST CROSS, K.U.D ROAD, DAHRWAD-580001"
Suryanagari,Health & Family Welfare,"MARKET AREA, WADI(JN), TQ: CHITAPUR, DIST: GULBARGA"
Suryodaya Education And Rural Development Society Koppal,Health & Family Welfare,SURYODAYA EDUCATION AND RURAL DEVELOPMENT SOCIETY KOPPAL
Swagath Education And Community Action,Children,"864, ""Nandana"", 13th Main, 7th Cross, Srinagar - 560050"
Swami Vivekanadan Rashtra Seva Trust,Children,"Sy.No.347, Somashekhara Reddy Estate,Â , Hulimangala Village, Jigani Hobli, Anekal Taluq,Bengaluru, 560105"
Swami Vivekananda Integrated Rural Health Centre,Health & Family Welfare,"Swami Vivekananda Integrated Rural Health Centre, Shree Sharadadevi Eye Hospital & Research Centre, Pavagada - 561 202, Tumkur district, Karnataka"
Swami Vivekanand Samaj Seva Samsthe Sutagatti,Vocational Training,"AP Sutagatti, Taluk Belgaum, District Belgaum, Karnataka State, Pin 591147"
Swami Vivekanand Seva Pratisthan,Children,"SWAMI VIVEKANAND SEVA PRATISTHAN , NYAY MARG OPP,S P OFFICE SUBHASH NAGAR BELAGAVI"
Swamy Vivekananda Youth Association,Children,"1ST FLOOR, AJBJ COMPLEX, OLD POST OFFICE ROAD, NEAR SYNDICATE BANK, ANEKAL TOWN-562106"
Swarajya Seva Sangha,Children,"c/o Sallauddin Sidiqui, H. no. 6-1-16/57, near Al Amin urdu school, Revansiddeshwar coloney road, Aland,Tq:Aland, Dist: Gulbarga pincode: 585302"
Swara Sinchana Sugama Sangetha And Janapada Kala Samsthe R,Children,"swara sinchana sugama sangeetha and janapada kala samsthe (R), maithri computers kalidasa hostel building B H road tumkur 572102"
Swarga Rural And Urban Development Trust,Children,"No.181, 1st Floor, Canara Bank Colony, Nagarabhavi Main Road,"
Swarna Bhumi Pidit Parivar Sangh,Health & Family Welfare,"Dr Mahesh Pathgi S/o. Dr G Pathgi, 9-9-53, Behind Axis Bank, Akkamahadevi Colony, BVB College Road, Bidar-585403"
Swashakthi Women And Child Welfare Organisation,Women's Development & Empowerment,"Poornima, Swashakthi Women And Child Welfare Organisation, 16/44, 11th Cross, Padnabhanagar (near hashmitha residency)"
Swet Social Welfare And Empowerment Society,Health & Family Welfare,H NO 1-1-130 STATION ROAD RAICHUR
Tajphool Minoritys Education Society,Children,"Tajphool minoritys education society, Akkipete , Shiralkoppa, Shikaripura taluk, Shimoga"
Talent Search Foundation,Children,"Talent Search Foundation , No 22 Tanya Tower, Pampa Ext , Hebbal Kempapur , Banaglore -24"
Taxashila Samajika Hagu Mahila Abhivraddhi Sansthe,Vocational Training,KARDI TQ HUNGUND DIST BAGALKOT
Telerad Foundation,Health & Family Welfare,"JASBIR SINGH, TELERAD FOUNDATION, C/O TELERADIOLOGY SOLUTIONS , 7G , OPP GRAPHITE INDIA, WHITEFIELD,Bengaluru"
TheBengaluru School Of Music And Fine Arts,Children,"No. 8, HMT/HBCS Layout, CBI Road, R.T Nagar Post"
The Churches Council For Child And Youth Care,Children,"cccyc, 26 Lavelle Road"
The Sacred Heart Brothers,Children,"The Sacred Heart Brothers, BIRDS, BIRDS Campus, Geddalahalli, Kothanur Post,Bengaluru - 560077"
The Servite Society Of The Congregation Of Servants Of Mary The Mother Of SorrowsBengaluru Servite,Children,"No.5, Davis Raod, St.Thomas TownBengaluru 560084"
The United Karnataka Charitable Trust,Health & Family Welfare,"no 16/5, 428. B.5.A B MANSION, DR A P J Abdul Kalam road, omer nagar, A C post,Bengaluru 560045"
The Womens Welfare Society Belgaum,Urban Development & Poverty Alleviation,"The Womens Welfare Society , No 146, Sector 02., Shivabasav Nagar Belgaum - 590010"
The World Cultural And Social Development Organization,Vocational Training,"THE WORLD CULTURAL AND SOCIAL DEVELOPMENT ORGANIZATION, MALIYAPPANAHALLI VILLAGE, KURGAL POST VEMGAL HOBLI, KOLAR TALUK KOLAR DISTRICT 563101"
Tina Voluntary Trust,Children,"A 12, J Block, Ramanamaharshi Road, Kuvempunagar, Mysore 570 023 KARNATAKA"
Trees Team For Reformation Of Education And Environmental Services,Children,"No.29,Behind RKN Mill, Kamasamudra Main Road, Deshihalli, Bangarpet 563114"
Trinity Care Foundation,Children,"No. 74, 4th Main Road, Viveknagar Extension,Bengaluru 560047."
Trinity Christian Association,Children,"17, Vijayanagar Extension"
Trust For Rural Upliftment Strategies,Children,"Trust for Rural Upliftment STrategies , No. 6-E-1, Sri Krishna Mandira, 27th Cross, 3rd C Main, Sri Raghavendrea Layout, HULIMAVU,Bengaluru 560 076"
T S Charitable Trust,Women's Development & Empowerment,"T S Charitable Trust (R), No. 8, Sri Mahalakshmi Bhavana, Sri Sathya Sai Colony, Basavanna Nagar Main Road, Hoddi, Mahadevapura Post,Bengaluru - 48."
Ugms Public Welfare Trust,Health & Family Welfare,"UGMs Public Welfare Trust , , sankalpa, 63/A, Vijaynagara , Hubli- 580 032."
United Karnataka People Welfare And Development Society,Children,131 ARMSTRONG ROAD BHARATI NAGARBengaluru 560001
Urban Research Centre,Children,"E 1, Maithree Apartments, 6th Main, 15th Cross, Malleswaram,Bengaluru-560003."
Uttar Karnataka Rural And Urban Development Seva Society,Rural Development & Poverty Alleviation,"H.No: 9-9-234, , Ambedkar Colony , Post Gandhi Gunj, Bidar"
Valimiki Seva Sangha,Children,VALMIKI SEVA SANGHA BHOVI GALLI NEAR OLD BUS STAND AP SHORAPUR DIST YADGIR KARNATAKA
Vasantharatna Foundation For Arts,Children,"7/21, Sankey Road, Lower Palace Orchards,"
Vathsala Foundation,Health & Family Welfare,"sneha mano vikasa kendra, neuro psychiatric and de addiction center., next to canara bank, dr radha krishnan road, s.s puram"
Vedavathi Charitable Trust,Health & Family Welfare,"No.25, 1st- main, T.K.Layout,Mysore-570009"
Veera Rani Chennamma Grameena Abhivruddi Samste,Health & Family Welfare,"""Srinivas"",Koppadakere,Dharwad-580008"
Vidhyananda Education Trust,Health & Family Welfare,VIDHYANANDA EDUCATION TRUST SRI NANJUNDESHWARA KRUPA BEHIND JNANAMANDIRA SCHOOL D PALYA ROAD GOWRIBIDANUR TQ CHIKBALLAPUR DIST KARNATAKA 561208
Vidya Bal Bhavan,Children,"Vidya Bal Bhavan, Opp Railway Station, Banavara, , Arsikere Taluk, Hassan District, , Karnataka"
Vidyabharati Foundation,Rural Development & Poverty Alleviation,"Vidyabhrati Foundation, IBMR Group of Institutions, 567, Akshay Colony, Vidyanagar"
Vidyanikethan,Children,"Jaraganahalli, 6th Phase, J.P.Nagar,Bengaluru-560078."
Vijayalakshmi Rural And Urban Development Society,Children,"vijaya lakshmi rural &urban development society., near basavana kunta,devi nagar main road,bellary post.bellary dist.karnataka.pincode 583101"
Vikasan Kendra,Rural Development & Poverty Alleviation,"Vikasan Kendra, , Plot No. 67, Jadhav Nagar, , Belgaum"
Vimal Education And Rural Devlopment Society,Health & Family Welfare,"a/p Belkoni (bho), tq. Aurad, Dist.Bidar, karnataka., pin 585447"
Vimochana Sangha,Children,"Vimochana Sangha, Mahamane, Opp: Govt.Hospital,Shedabal road, Athani-591 304,Dist Belgaum,Karnataka"
Vimochana Sangha Athani Dist Belgaum,Women's Development & Empowerment,VIMOCHANA SANGHA . OPP GOVERNMENT HOSPITAL . ATHANI-591304 DIST. BELGAUM . KARNATAK STATE
Vimukthi Aids Tadagettuva Mahila Sangha Ballari,Children,"VIMUKTHI AIDS TADAGETTUVA MAHILA SANGHA BALLARI,C/O FAMILY PLANNING ASSOCIATION OF INDIA BESIDE NEW KSRTC BUSSTAND, BEHIND DODDANNA GOWDA RANGAMANDIRA"
Vimukti Trust,Dalit Upliftment,"Vimukti Trust, 1289, ISEC Road, Nagarabhavi Village and Post"
Vishala Karnataka Educational Rural Development Society,Women's Development & Empowerment,"VISHALA KARNATAKA EDUCATION RURAL DEVELOPMENT SOCIETY ( R ) 6TH CROSS,ARMUGAM ROAD, VIJAYAPURA,CHIKMAGLAUR, CHIKMAGALUR DISTRICT, KARNATAKA STATE ,PIN"
Vishveswaraiah Development Organization,Rural Development & Poverty Alleviation,VISHVESWARAIAH DEVELOPMENT ORGANIZATION no 545 13th Cross 1st Main B.M.Sree Nagara Metagalli Post Mysore 570 016
Vishwabharatitrust,Health & Family Welfare,"vishwabharatitrust, Bb street, Anavatti post577413, sorab taluk, shimoga district"
Vishwa Chetan Education And Rural Devoplment Society,Rural Development & Poverty Alleviation,VISHWA CHETAN EDUCATION AND RURAL DEVELOPMENT SOCEITY (R) AT SAGAR -585323 TQ: SHAHAPUR DT: GULBARGA
Vishwachetan Foundation,Rural Development & Poverty Alleviation,"Vishwachetan Foundation, IBMR Campus, 567, Aksah, Colony, Vidyanagar"
Vishwadarhani Mahila Mandal Hukkeri Dist Belgaum,Women's Development & Empowerment,"Rekha S Chikkodi, No 22/5, Karuna Typeing Instutut Anjenya Nagar Hukkeri Pin Code 591309"
Vishwagramodaya Rural Biosphere Sustainable Development Society,Rural Development & Poverty Alleviation,"Vishwagramodaya Rural biosphere Sustainable Development Society. R D Roppa Village, Pothagana Hally Post, Y. N. Hosakote Hobali, Pavagada Taluk. Tumku"
Vishwalaya,Children,Ravugodlu village Bolare P O Kanakapura RdBengaluru South Pin-560082
Vishwamanav Samaja Seva Samsthe,Women's Development & Empowerment,"VISHWAMANAVA SAMAJA SEVA SAMSTHE, AT POST HULLUR VIA GANAGAPUR(T), TQ JEWARGI DIST GULBARGA -585212"
Visveswaraiah Rural And Urban Development Trust,Rural Development & Poverty Alleviation,VISVESWARAIAH RURAL AND URBAN DEVELOPMENT TRUST(R) PRUADAGADDE(VILLAGE) DIBBUR(POST).CHIKKABALLAPUR TQ/DIST. KARNATAKA STATE.562101 INDIA.
Vividoshgala Abhivradhi Sangh,Children,"L D CHANDAVARI, VIVIDOSHGALA ABHIVRADHI SANGH, RAJIVGANDHI NAGAR, GADAG"
Vn Jakka Education And Rural Development Trust,Children,"POST MUSTARI, HUMNABAD TALUK, BIDAR DISTRICT, PINCODE 585412"
Voise,Health & Family Welfare,M 66 KHB COLONY MOKA ROAD GANDHI NAGAR BELLARY 583103 KARNATAKA
Voluntary Organization For Rural Development In Action Avord,Children,"APSkumar, Secretary/Executive Director, AVORD, Gownipalli Regional project office lakshmipur village and post srinivaspur taluk Kolar district karnata"
Water Literacy Foundation,Urban Development & Poverty Alleviation,"Ayyappa,347, parvathi nilaya, kallappa layout, Amruthahalli, Sahakarnagar post,Banglaore560092"
Weight Loss Wonder Foundation,Health & Family Welfare,"E-16, Sriram Sadhana, Gokula, MSR Road,Bengaluru 50054"
Wisdom Foundation,Children,"Wisdom Foundation, 449, Behind Govt. school, off outer ring road, Mahadevapura,Bengaluru - 560048"
Woman Multipurpose Organisation,Children,"Woman Multipurpose organisation, Halagur, Malavalli taluk, Mandya Dist, 571421"
Women Entrepreneurs Karnataka Association,Children,"WEKAS - WOMEN ENTREPRNEURS KARNATAKA ASSOCIATION , NO.105, SHAKTI NAGAR , GOKUL ROAD HUBLI - 580030"
Women Liberation And Rehabilitation Society,Children,"WLARS, WLARS Campus, Madhugiri"
Women Oriented Rural Development Society,Children,"h no 1-7-132, goal market near jandakatte station area raichur"
Yaabaa Academy,Dalit Upliftment,"Yaabaa Academy, , C/o, Mr. Muralidhar V Rathod, No.292, First Floor, 2nd Cross, 10th Main, , BEML Layout, 5th Stage, Rajarajeshwari Nagara,Bengaluru"
Yakshagana Kendra,Children,"YAKSHAGANA KENDRA, A Unit :Yaksha Gurukula Shikshana Trust(R), Shivaprabha, Sri Vadiraja Vanam, Hayagreeva Nagara, Indrali, Post Kunjibettu"
Yashaswini Mahila Vividhodeshgal Sangha,Women's Development & Empowerment,Health Camp Badami Road Betageri -Gadag 582104
Yashodhare Education And Rural Development Society R,Women's Development & Empowerment,YASHODHARE EDUCATION AND RURAL DEVELOPMENT SOCIETY (R) AT POST NILOOR TQ AFZALPUR DIST GULBARGA-585213
Yuva Ignited Minds,Drinking Water,"No:9, B.V.K Iyengar Road, Sankla Mansion, Chickpet,Bengaluru 560053"
Yuvalok Foundation,Children,"DP Daniel, , YuvaLok Service Center, , The Ambassador, 16, 6th Cross, Hutchins Road, St. Thomas Town P.O.,Bengaluru 560032"
Zaheera Mehala Vividododoeshgal Sangha,Vocational Training,Nadaf Galli Betgaeri Gadag-582103
